PY004,Yanam,PY
PB001,Amritsar,PB
PB019,Barnala,PB
PB002,Bathinda,PB
PB003,Faridkot,PB
PB004,Fatehgarh Sahib,PB
PB022,Fazilka,PB
PB005,Ferozepur,PB
PB006,Gurdaspur,PB
PB007,Hoshiarpur,PB
PB008,Jalandhar,PB
PB009,Kapurthala,PB
PB010,Ludhiana,PB
PB011,Mansa,PB
PB012,Moga,PB
PB013,Muktsar,PB
PB014,Nawanshahr (Shahid Bhagat Singh Nagar),PB
PB021,Pathankot,PB
PB015,Patiala,PB
PB016,Rupnagar,PB
PB020,Sahibzada Ajit Singh Nagar (Mohali),PB
PB017,Sangrur,PB
PB018,Tarn Taran,PB
RJ001,Ajmer,RJ
RJ002,Alwar,RJ
RJ003,Banswara,RJ
RJ004,Baran,RJ
RJ005,Barmer,RJ
RJ006,Bharatpur,RJ
RJ007,Bhilwara,RJ
RJ008,Bikaner,RJ
RJ009,Bundi,RJ
RJ010,Chittorgarh,RJ
RJ011,Churu,RJ
RJ012,Dausa,RJ
RJ013,Dholpur,RJ
RJ014,Dungarpur,RJ
RJ016,Hanumangarh,RJ
RJ017,Jaipur,RJ
RJ018,Jaisalmer,RJ
RJ019,Jalore,RJ
RJ020,Jhalawar,RJ
RJ021,Jhunjhunu,RJ
RJ022,Jodhpur,RJ
RJ023,Karauli,RJ
RJ024,Kota,RJ
RJ025,Nagaur,RJ
RJ026,Pali,RJ
RJ033,Pratapgarh,RJ
RJ027,Rajsamand,RJ
RJ028,Sawai Madhopur,RJ
RJ029,Sikar,RJ
RJ030,Sirohi,RJ
RJ015,Sri Ganganagar,RJ
RJ031,Tonk,RJ
RJ032,Udaipur,RJ
SK001,East Sikkim,SK
SK002,North Sikkim,SK
SK003,South Sikkim,SK
SK004,West Sikkim,SK
TN032,Ariyalur,TN
TN002,Chennai,TN
TN003,Coimbatore,TN
TN004,Cuddalore,TN
TN005,Dharmapuri,TN
TN006,Dindigul,TN
TN007,Erode,TN
TN008,Kanchipuram,TN
TN009,Kanyakumari,TN
TN010,Karur,TN
TN031,Krishnagiri,TN
TN011,Madurai,TN
TN012,Nagapattinam,TN
TN013,Namakkal,TN
TN020,Nilgiris,TN
TN014,Perambalur,TN
TN015,Pudukkottai,TN
TN016,Ramanathapuram,TN
TN017,Salem,TN
TN018,Sivaganga,TN
TN019,Thanjavur,TN
TN021,Theni,TN
TN024,Thoothukudi (Tuticorin),TN
TN025,Tiruchirappalli,TN
TN026,Tirunelveli,TN
TN033,Tiruppur,TN
TN022,Tiruvallur,TN
TN027,Tiruvannamalai,TN
TN023,Tiruvarur,TN
TN028,Vellore,TN
TN029,Viluppuram,TN
TN030,Virudhunagar,TN
TG006,Adilabad,TG
TG011,Bhadradri Kothagudem,TG
TG003,Hyderabad,TG
TG012,Jagtial,TG
TG013,Jangaon,TG
TG014,Jayashankar Bhoopalpally,TG
TG015,Jogulamba Gadwal,TG
TG016,Kamareddy,TG
TG007,Karimnagar,TG
TG009,Khammam,TG
TG017,Komaram Bheem Asifabad,TG
TG018,Mahabubabad,TG
TG001,Mahabubnagar,TG
TG019,Mancherial,TG
TG004,Medak,TG
TG020,Medchal,TG
TG021,Nagarkurnool,TG
TG010,Nalgonda,TG
TG022,Nirmal,TG
TG005,Nizamabad,TG
TG023,Peddapalli,TG
TG024,Rajanna Sircilla,TG
TG002,Rangareddy,TG
TG025,Sangareddy,TG
TG026,Siddipet,TG
TG027,Suryapet,TG
TG028,Vikarabad,TG
TG029,Wanaparthy,TG
TG030,Warangal (Rural),TG
TG008,Warangal (Urban),TG
TG031,Yadadri Bhuvanagiri,TG
TR001,Dhalai,TR
TR006,Gomati,TR
TR007,Khowai,TR
TR002,North Tripura,TR
TR008,Sepahijala,TR
TR003,South Tripura,TR
TR005,Unakoti,TR
TR004,West Tripura,TR
